zip_code,date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,snow,snowdepth,windgust,windspeed,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,daylight,is_work_day
07310,2022-11-01,67.7,59.3,62.6,67.7,59.3,62.6,57.1,0.831,0.136,0.20829999999999999,0.0,0.0,15.7,8.3,1016.3,0.768,7.3,70.6,6.0,0.4,37550,1
07310,2022-11-02,70.2,56.3,62.2,70.2,56.3,62.2,47.1,0.598,0.0,0.0,0.0,0.0,23.0,10.2,1024.5,0.068,9.9,147.9,12.7,0.6,37407,1
07310,2022-11-03,67.3,51.2,58.4,67.3,51.2,58.4,45.7,0.643,0.0,0.0,0.0,0.0,10.3,4.6,1028.4,0.031,9.8,145.6,12.6,0.6,37266,1
07310,2022-11-04,70.9,51.9,60.7,70.9,51.9,60.7,53.8,0.792,0.0,0.0,0.0,0.0,18.8,6.9,1027.3,0.262,8.6,136.0,11.9,0.6,37127,1
07310,2022-11-05,76.1,64.2,68.5,76.1,64.2,68.5,59.9,0.746,0.0,0.0,0.0,0.0,28.0,8.1,1023.5,0.5920000000000001,9.9,112.3,9.7,0.5,36988,0
07310,2022-11-06,74.8,66.5,70.2,74.8,66.5,70.2,61.8,0.7490000000000001,0.0,0.0,0.0,0.0,26.4,7.5,1022.2,0.741,9.9,56.6,5.1,0.3,36851,0
07310,2022-11-07,77.0,57.5,70.8,77.0,57.5,70.8,46.1,0.488,0.003,0.0417,0.0,0.0,28.6,12.8,1022.1,0.28800000000000003,9.9,139.9,12.2,0.6,36716,1
07310,2022-11-08,58.3,47.3,52.4,58.3,43.4,51.2,24.6,0.35,0.0,0.0,0.0,0.0,31.1,12.6,1033.3,0.095,9.9,141.0,12.2,0.6,36583,1
07310,2022-11-09,53.3,39.6,47.1,53.3,34.4,44.7,28.9,0.501,0.0,0.0,0.0,0.0,21.1,13.9,1036.3,0.051,9.9,136.7,11.6,0.6,36451,1
07310,2022-11-10,67.0,46.6,56.2,67.0,45.5,55.9,45.4,0.679,0.0,0.0,0.0,0.0,16.6,8.1,1027.7,0.092,9.9,130.4,11.3,0.5,36321,1
07310,2022-11-11,68.8,58.7,63.9,68.8,58.7,63.9,59.8,0.867,0.838,0.4167,0.0,0.0,36.5,9.2,1014.4,0.961,7.1,28.5,2.5,0.2,36192,0
07310,2022-11-12,69.6,62.4,67.1,69.6,62.4,67.1,56.3,0.696,0.058,0.16670000000000001,0.0,0.0,34.7,13.4,1002.6,0.7490000000000001,9.2,105.4,9.0,0.6,36065,0
07310,2022-11-13,60.9,42.4,50.9,60.9,38.8,49.2,38.7,0.6409999999999999,0.043,0.2917,0.0,0.0,28.0,21.9,1012.0,0.7909999999999999,9.9,69.4,6.0,0.5,35940,0
07310,2022-11-14,44.9,37.5,41.0,42.2,30.0,35.9,23.1,0.491,0.0,0.0,0.0,0.0,24.2,14.0,1025.9,0.129,9.9,129.2,11.0,0.6,35817,1
07310,2022-11-15,45.6,35.5,40.1,42.8,29.8,35.2,27.2,0.609,0.413,0.20829999999999999,0.0,0.0,29.8,12.4,1028.6,0.7070000000000001,9.0,50.3,4.3,0.3,35697,1
07310,2022-11-16,50.3,39.8,44.5,50.3,32.9,39.5,35.9,0.737,0.407,0.375,0.0,0.0,31.1,13.3,1013.2,0.838,7.9,91.5,7.9,0.5,35577,1
07310,2022-11-17,45.5,38.0,40.5,39.8,31.0,34.8,24.4,0.53,0.0,0.0,0.0,0.0,26.7,14.9,1014.1,0.601,9.9,114.1,9.8,0.6,35461,1
07310,2022-11-18,43.9,33.5,38.8,41.0,28.1,33.3,21.5,0.511,0.0,0.0,0.0,0.0,31.5,17.2,1019.0,0.28300000000000003,9.9,114.2,9.8,0.5,35346,1
07310,2022-11-19,40.5,31.2,36.1,38.1,24.1,30.4,16.9,0.46,0.0,0.0,0.0,0.0,31.1,12.1,1021.3,0.046,9.9,116.4,10.0,0.5,35235,0
07310,2022-11-20,37.6,29.9,34.1,33.2,21.7,26.4,10.0,0.374,0.0,0.0,0.0,0.0,32.4,18.6,1020.0,0.18,9.9,121.3,10.5,0.5,35124,0
07310,2022-11-21,41.5,27.0,34.6,35.7,19.6,28.4,11.9,0.396,0.0,0.0,0.0,0.0,29.5,13.9,1028.4,0.06,9.9,113.5,9.8,0.5,35017,1
07310,2022-11-22,51.7,36.3,43.8,51.7,31.0,40.3,21.8,0.423,0.0,0.0,0.0,0.0,22.8,10.6,1025.7,0.061,9.9,115.4,9.9,0.5,34913,1
07310,2022-11-23,55.9,40.6,47.5,55.9,37.5,45.9,23.6,0.392,0.0,0.0,0.0,0.0,19.7,9.5,1023.3,0.015,9.9,112.7,9.7,0.5,34811,1
07310,2022-11-24,53.6,38.0,46.2,53.6,34.4,44.4,32.8,0.596,0.0,0.0,0.0,0.0,16.8,7.3,1027.2,0.134,9.9,107.5,9.2,0.5,34711,0
07310,2022-11-25,55.6,47.3,49.5,55.6,41.3,47.0,38.2,0.669,0.021,0.0833,0.0,0.0,31.6,15.1,1013.5,0.667,8.7,31.0,2.6,0.2,34615,0
07310,2022-11-26,57.1,42.8,49.4,57.1,37.8,46.9,26.1,0.406,0.0,0.0,0.0,0.0,36.8,13.9,1015.6,0.24600000000000002,9.9,114.8,9.8,0.5,34522,0
07310,2022-11-27,58.7,47.3,51.7,58.7,43.8,50.5,39.8,0.665,0.705,0.3333,0.0,0.0,27.7,15.0,1006.1,0.569,8.2,19.8,1.5,0.1,34430,0
07310,2022-11-28,55.1,42.4,50.2,55.1,38.3,48.9,37.9,0.629,0.0,0.0,0.0,0.0,37.4,16.6,1006.2,0.35600000000000004,9.9,72.0,6.0,0.4,34343,1
07310,2022-11-29,43.3,35.7,40.4,42.9,32.1,38.7,27.8,0.607,0.0,0.0,0.0,0.0,17.4,5.8,1024.1,0.496,9.9,48.8,4.0,0.2,34258,1
07310,2022-11-30,58.5,39.9,48.9,58.5,35.2,47.4,40.9,0.747,0.384,0.375,0.0,0.0,36.8,21.9,1013.7,0.812,8.5,7.5,0.7,0.0,34177,1
07310,2022-12-01,42.9,36.0,39.3,36.4,29.4,32.7,18.5,0.43,0.0,0.0,0.0,0.0,32.2,23.0,1023.1,0.31,9.8,78.5,6.6,0.4,34098,1
07310,2022-12-02,45.3,31.7,38.7,42.9,26.8,35.9,22.5,0.524,0.0,0.0,0.0,0.0,16.1,7.5,1032.4,0.105,9.9,104.9,9.0,0.5,34023,1
07310,2022-12-03,58.1,46.1,52.7,58.1,42.4,52.0,44.5,0.748,0.455,0.3333,0.0,0.0,35.4,18.3,1020.0,0.7809999999999999,8.6,7.5,0.7,0.0,33951,0
07310,2022-12-04,45.8,37.9,41.9,45.8,33.6,38.0,21.8,0.44799999999999995,0.0,0.0,0.0,0.0,32.2,11.8,1022.0,0.145,9.9,105.3,9.0,0.5,33884,0
07310,2022-12-05,47.7,34.3,41.3,46.6,32.7,39.6,23.3,0.504,0.0,0.0,0.0,0.0,10.5,8.6,1024.6,0.134,9.9,94.3,8.2,0.5,33818,1
07310,2022-12-06,57.3,40.5,50.5,57.3,36.6,49.5,45.7,0.836,0.67,0.5,0.0,0.0,31.3,8.9,1025.5,0.885,6.6,14.8,1.2,0.1,33757,1
07310,2022-12-07,58.7,55.4,57.2,58.7,55.4,57.2,55.1,0.927,0.373,0.375,0.0,0.0,28.9,11.1,1020.8,0.9520000000000001,4.9,15.5,1.3,0.1,33700,1
07310,2022-12-08,54.3,43.6,50.5,54.3,40.1,49.0,38.1,0.631,0.0,0.0,0.0,0.0,26.4,17.2,1022.5,0.272,9.9,61.9,5.4,0.3,33645,1
07310,2022-12-09,45.8,35.7,39.7,42.2,29.1,34.3,22.7,0.514,0.0,0.0,0.0,0.0,20.8,12.4,1025.2,0.040999999999999995,9.9,101.7,8.8,0.5,33595,1
07310,2022-12-10,39.8,31.2,36.2,35.8,23.0,30.4,21.4,0.55,0.0,0.0,0.0,0.0,20.8,10.8,1027.9,0.39299999999999996,9.9,85.6,7.4,0.5,33548,0
07310,2022-12-11,40.1,33.4,37.3,35.0,25.9,31.2,31.8,0.8059999999999999,0.299,0.4167,0.1,0.0,20.8,12.8,1022.9,0.9990000000000001,7.6,11.8,1.0,0.1,33506,0
07310,2022-12-12,38.3,29.3,33.7,31.8,21.7,27.0,26.9,0.764,0.018,0.0833,0.5,0.0,19.5,10.7,1021.4,0.6859999999999999,8.9,62.3,5.4,0.4,33467,1
07310,2022-12-13,40.7,25.6,32.0,40.7,18.1,27.2,17.9,0.574,0.0,0.0,0.0,0.0,15.0,8.4,1024.3,0.031,9.9,101.6,8.8,0.5,33432,1
07310,2022-12-14,38.8,31.1,34.3,36.2,22.8,27.4,17.3,0.503,0.0,0.0,0.0,0.0,24.2,13.9,1020.6,0.151,9.9,97.0,8.3,0.5,33401,1
07310,2022-12-15,42.4,32.9,37.8,37.6,25.8,31.4,30.5,0.753,0.528,0.4167,0.0,0.0,32.2,14.3,1020.7,0.688,8.6,12.7,1.0,0.1,33374,1
07310,2022-12-16,44.6,38.5,42.0,38.5,30.5,35.5,39.3,0.9009999999999999,0.797,0.9167000000000001,0.0,0.0,32.4,17.2,1004.3,1.0,5.1,18.9,1.8,0.1,33351,1
07310,2022-12-17,44.9,37.1,40.4,38.9,30.9,34.6,27.3,0.61,0.0,0.0,0.0,0.0,26.4,13.3,1006.6,0.6809999999999999,9.9,64.5,5.5,0.4,33332,0
07310,2022-12-18,40.1,33.2,36.2,36.0,22.3,29.9,20.8,0.537,0.0,0.0,0.0,0.0,20.8,17.2,1013.2,0.39299999999999996,9.9,86.2,7.5,0.4,33316,0
07310,2022-12-19,38.8,30.8,34.0,32.2,20.9,26.7,19.0,0.542,0.0,0.0,0.0,0.0,27.0,13.9,1022.6,0.272,9.9,90.7,7.9,0.5,33306,1
07310,2022-12-20,39.5,31.1,34.5,35.2,23.8,28.5,18.9,0.531,0.0,0.0,0.0,0.0,20.8,15.0,1028.8,0.107,9.9,101.5,8.7,0.5,33298,1
07310,2022-12-21,40.5,27.8,33.8,40.5,21.2,32.1,20.6,0.589,0.0,0.0,0.0,0.0,9.2,6.6,1031.9,0.15,9.9,96.7,8.3,0.4,33296,1
07310,2022-12-22,45.8,33.7,39.8,40.5,28.2,34.8,33.7,0.792,0.218,0.375,0.0,0.0,26.8,15.3,1024.7,0.7390000000000001,8.7,17.4,1.5,0.1,33297,1
07310,2022-12-23,57.2,9.0,38.0,57.2,-8.9,30.5,30.6,0.754,1.093,0.5,0.1,0.0,43.6,30.0,993.1,0.8809999999999999,7.5,18.3,1.8,0.1,33303,1
07310,2022-12-24,15.2,7.3,11.3,3.5,-12.2,-4.3,-6.0,0.45,0.0,0.0,0.0,0.0,33.3,20.7,1009.0,0.22,9.9,88.2,7.6,0.4,33311,0
07310,2022-12-25,27.8,14.0,20.9,18.3,-1.5,9.6,4.3,0.486,0.0,0.0,0.0,0.0,28.7,15.1,1013.4,0.105,9.9,99.1,8.6,0.5,33325,0
07310,2022-12-26,29.0,18.3,24.2,22.3,5.3,14.8,6.6,0.467,0.0,0.0,0.0,0.0,25.3,17.2,1022.3,0.27,9.9,96.0,8.3,0.5,33343,0
07310,2022-12-27,34.6,28.8,31.7,34.6,19.9,25.6,13.2,0.461,0.0,0.0,0.0,0.0,17.2,10.3,1025.0,0.983,9.9,61.5,5.2,0.4,33365,1
07310,2022-12-28,47.5,32.7,39.8,45.0,26.3,36.1,21.6,0.49,0.0,0.0,0.0,0.0,23.0,16.1,1025.9,0.365,9.9,95.9,8.3,0.5,33390,1
07310,2022-12-29,50.5,38.9,44.6,50.5,34.1,41.4,25.9,0.479,0.0,0.0,0.0,0.0,19.7,8.9,1025.6,0.193,9.9,84.7,7.3,0.4,33419,1
07310,2022-12-30,62.1,45.7,51.5,62.1,42.3,50.8,33.1,0.498,0.0,0.0,0.0,0.0,12.8,6.6,1024.4,0.247,9.5,95.3,8.4,0.4,33453,1
07310,2022-12-31,54.8,49.8,52.2,54.8,48.2,52.1,49.0,0.89,0.259,0.375,0.0,0.0,11.4,6.4,1015.6,0.915,4.4,14.1,1.1,0.1,33490,0
07310,2023-01-01,54.8,49.2,51.9,54.8,46.2,51.8,40.3,0.6679999999999999,0.009,0.0417,0.0,0.0,18.3,12.5,1012.3,0.408,9.1,96.4,8.4,0.4,33532,0
07310,2023-01-02,56.5,45.7,51.9,56.5,43.1,51.3,40.2,0.648,0.031,0.125,0.0,0.0,9.2,7.2,1019.3,0.574,9.5,43.8,3.6,0.3,33578,0
07310,2023-01-03,56.1,47.8,52.1,56.1,47.8,52.0,48.9,0.889,0.424,0.2917,0.0,0.0,13.9,7.8,1014.4,0.905,5.3,16.2,1.5,0.1,33626,1
07310,2023-01-04,65.9,51.4,58.2,65.9,51.4,58.2,52.4,0.8140000000000001,0.021,0.125,0.0,0.0,15.0,8.6,1009.9,0.688,8.2,59.1,5.1,0.3,33679,1
07310,2023-01-05,50.8,45.8,48.8,50.8,41.6,47.0,46.0,0.904,0.009,0.0417,0.0,0.0,9.2,8.0,1013.4,1.0,5.9,26.9,2.3,0.1,33736,1
07310,2023-01-06,47.9,40.1,44.9,45.2,34.9,41.9,38.4,0.789,0.284,0.2917,0.0,0.0,31.1,10.0,1015.6,0.927,7.8,31.3,2.8,0.2,33796,1
07310,2023-01-07,44.6,37.1,40.6,40.1,31.2,35.6,28.5,0.622,0.0,0.0,0.0,0.0,23.0,10.5,1020.8,0.465,9.9,50.8,4.4,0.3,33860,0
07310,2023-01-08,41.3,33.7,37.5,40.1,28.1,33.9,22.2,0.542,0.0,0.0,0.0,0.0,16.1,8.9,1024.4,0.2,9.9,86.4,7.4,0.4,33927,0
07310,2023-01-09,44.9,37.4,40.1,40.3,33.0,36.9,27.5,0.622,0.008,0.0833,0.0,0.0,24.2,11.3,1014.2,0.479,9.4,97.0,8.2,0.5,33997,1
07310,2023-01-10,41.3,37.2,39.5,41.3,31.5,36.1,25.0,0.5589999999999999,0.0,0.0,0.0,0.0,16.1,8.1,1016.7,0.877,9.8,23.5,1.9,0.1,34072,1
07310,2023-01-11,39.5,35.3,37.9,37.9,27.7,33.2,23.1,0.55,0.0,0.0,0.0,0.0,18.3,10.3,1023.2,0.853,9.9,47.2,4.0,0.2,34149,1
07310,2023-01-12,54.5,37.6,45.4,54.5,32.7,43.2,40.1,0.82,0.186,0.375,0.0,0.0,32.2,9.0,1017.4,0.9990000000000001,8.4,16.2,1.5,0.1,34231,1
07310,2023-01-13,56.8,38.9,49.6,56.8,29.2,46.9,41.8,0.75,0.146,0.16670000000000001,0.0,0.0,36.9,20.8,1002.3,0.883,9.3,26.5,2.1,0.2,34315,1
07310,2023-01-14,38.0,32.3,34.6,31.7,22.1,26.0,22.7,0.614,0.0,0.0,0.0,0.0,31.1,21.9,1009.6,0.998,9.3,44.1,3.8,0.2,34402,0
07310,2023-01-15,42.1,30.5,35.0,36.0,19.2,26.4,17.3,0.49700000000000005,0.0,0.0,0.0,0.0,32.2,18.3,1015.4,0.405,9.9,111.7,9.7,0.5,34493,0
07310,2023-01-16,48.5,29.0,36.9,45.1,19.5,30.5,10.1,0.344,0.0,0.0,0.0,0.0,24.2,14.7,1012.0,0.248,9.9,116.6,10.1,0.5,34586,0
